filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.399957
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.428488
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.377846
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.367829
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.358052
25Atoms_16RotBonds_diverse_properties.smi;681653;0.378417
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.414085
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.367788
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.354998
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.338198
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.35369
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.403758
30Atoms_20RotBonds_diverse_properties.smi;835774;0.365853
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.347626
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.33967
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.328144
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.342435
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.428499
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.342519
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.350041
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.329048
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.319788
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.32404
40Atoms_1RotBonds_diverse_properties.smi;452272;0.433852
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.352796
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.385781
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.325675
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.305887
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.306282
45Atoms_1RotBonds_diverse_properties.smi;158804;0.454787
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.329194
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.396369
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.324614
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.296013
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.29782
50Atoms_1RotBonds_diverse_properties.smi;40519;0.458896
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.310462
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.424788
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.315112
mixed_bucket.smi;16655062;0.357439
;0;-nan
