filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.426869
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.43939
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.397352
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.389288
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.369119
25Atoms_16RotBonds_diverse_properties.smi;681653;0.3943
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.414177
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.374475
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.363724
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.342123
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.359621
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.394214
30Atoms_20RotBonds_diverse_properties.smi;835774;0.374464
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.350052
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.340541
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.327489
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.344545
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.409976
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.341531
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.345825
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.326664
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.317194
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.322382
40Atoms_1RotBonds_diverse_properties.smi;452272;0.41481
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.352223
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.370967
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.322207
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.305968
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.304708
45Atoms_1RotBonds_diverse_properties.smi;158804;0.438075
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.324151
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.380673
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.318731
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.298767
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.297434
50Atoms_1RotBonds_diverse_properties.smi;40519;0.447247
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.309656
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.40877
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.309759
mixed_bucket.smi;16655062;0.360201
;0;-nan
