filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.370164
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.449292
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.382919
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.357619
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.341051
25Atoms_16RotBonds_diverse_properties.smi;681653;0.344119
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.429369
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.3794
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.352561
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.32361
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.329015
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.40879
30Atoms_20RotBonds_diverse_properties.smi;835774;0.322299
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.357279
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.34329
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.315608
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.313169
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.412614
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.317105
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.35349
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.328096
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.309444
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.300838
40Atoms_1RotBonds_diverse_properties.smi;452272;0.406799
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.308253
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.374676
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.322065
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.289469
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.283173
45Atoms_1RotBonds_diverse_properties.smi;158804;0.419731
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.293877
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.371466
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.316915
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.271488
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.268776
50Atoms_1RotBonds_diverse_properties.smi;40519;0.419383
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.273536
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.381258
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.298491
mixed_bucket.smi;16655062;0.370448
;0;-nan
