filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.403121
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.448997
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.401212
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.381378
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.353124
25Atoms_16RotBonds_diverse_properties.smi;681653;0.362551
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.419787
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.383538
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.361527
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.326897
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.334306
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.393943
30Atoms_20RotBonds_diverse_properties.smi;835774;0.33313
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.35626
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.342156
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.313305
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.313531
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.392099
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.313513
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.345251
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.322953
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.303714
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.296354
40Atoms_1RotBonds_diverse_properties.smi;452272;0.386104
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.306345
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.357365
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.315391
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.28395
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.277331
45Atoms_1RotBonds_diverse_properties.smi;158804;0.399921
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.286544
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.354225
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.306953
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.267346
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.262873
50Atoms_1RotBonds_diverse_properties.smi;40519;0.404008
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.267615
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.363569
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.288315
mixed_bucket.smi;16655062;0.369189
;0;-nan
