filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.4136
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.448922
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.402184
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.38476
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.358548
25Atoms_16RotBonds_diverse_properties.smi;681653;0.374297
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.419181
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.383655
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.363923
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.330086
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.342401
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.392596
30Atoms_20RotBonds_diverse_properties.smi;835774;0.346399
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.35537
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.340693
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.314869
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.320452
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.385516
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.321469
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.343253
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.320529
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.30301
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.299599
40Atoms_1RotBonds_diverse_properties.smi;452272;0.376106
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.322006
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.353126
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.313037
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.282817
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.278244
45Atoms_1RotBonds_diverse_properties.smi;158804;0.390166
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.293793
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.346343
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.304314
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.267068
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.261683
50Atoms_1RotBonds_diverse_properties.smi;40519;0.392976
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.27231
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.347751
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.285848
mixed_bucket.smi;16655062;0.368351
;0;-nan
