filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.38975
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.432787
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.380051
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.362244
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.334528
25Atoms_16RotBonds_diverse_properties.smi;681653;0.340444
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.403441
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.361336
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.338698
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.304911
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.312628
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.377664
30Atoms_20RotBonds_diverse_properties.smi;835774;0.308763
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.332157
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.319538
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.289788
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.291447
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.371275
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.290424
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.321406
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.299511
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.27918
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.27399
40Atoms_1RotBonds_diverse_properties.smi;452272;0.358534
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.282814
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.331366
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.290254
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.261651
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.256477
45Atoms_1RotBonds_diverse_properties.smi;158804;0.372554
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.266146
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.32705
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.282709
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.245815
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.241519
50Atoms_1RotBonds_diverse_properties.smi;40519;0.371406
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.248996
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.327466
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.265099
mixed_bucket.smi;16655062;0.34666
;0;-nan
